source_text_file,normalized_text_file,layout,pages,candidate_two_column_pages,converted_pages,one_column_pages
data/processed/articles/raw/1-s2.0-S014829632100597X-main.txt,data/processed/articles/1-s2.0-S014829632100597X-main.txt,two_column_normalized,19,9,9,10
data/processed/articles/raw/1-s2.0-S0169260720315455-main.txt,data/processed/articles/1-s2.0-S0169260720315455-main.txt,two_column_normalized,9,7,7,2
data/processed/articles/raw/1-s2.0-S0169743913000233-main.txt,data/processed/articles/1-s2.0-S0169743913000233-main.txt,two_column_normalized,7,4,4,3
data/processed/articles/raw/1-s2.0-S131915782100135X-main.txt,data/processed/articles/1-s2.0-S131915782100135X-main.txt,two_column_normalized,16,13,13,3
data/processed/articles/raw/1-s2.0-S187439191630344X-main.txt,data/processed/articles/1-s2.0-S187439191630344X-main.txt,two_column_normalized,14,10,10,4
data/processed/articles/raw/1-s2.0-S187705091630309X-main.txt,data/processed/articles/1-s2.0-S187705091630309X-main.txt,one_column_or_complex_layout,6,0,0,6
data/processed/articles/raw/1-s2.0-S1877050916306019-main.txt,data/processed/articles/1-s2.0-S1877050916306019-main.txt,one_column_or_complex_layout,8,0,0,8
data/processed/articles/raw/1471-2105-14-257.txt,data/processed/articles/1471-2105-14-257.txt,two_column_normalized,5,3,3,2
data/processed/articles/raw/41_10.1021_acs.chemrestox.txt,data/processed/articles/41_10.1021_acs.chemrestox.txt,one_column_or_complex_layout,36,0,0,36
data/processed/articles/raw/44_10.txt,data/processed/articles/44_10.txt,two_column_normalized,19,12,12,7
data/processed/articles/raw/51_10.txt,data/processed/articles/51_10.txt,one_column_or_complex_layout,6,0,0,6
data/processed/articles/raw/52_10.3390_info9070176.txt,data/processed/articles/52_10.3390_info9070176.txt,one_column_or_complex_layout,21,0,0,21
data/processed/articles/raw/54_10.1016_j.chemosphere.2015.06.txt,data/processed/articles/54_10.1016_j.chemosphere.2015.06.txt,one_column_or_complex_layout,22,1,0,22
data/processed/articles/raw/56_10.1074_mcp.ra117.000165.txt,data/processed/articles/56_10.1074_mcp.ra117.000165.txt,two_column_normalized,10,7,7,3
data/processed/articles/raw/58_10.1016_j.ntt.2020.106918.txt,data/processed/articles/58_10.1016_j.ntt.2020.106918.txt,one_column_or_complex_layout,49,0,0,49
data/processed/articles/raw/59_10.3390_pharmaceutics14101998.txt,data/processed/articles/59_10.3390_pharmaceutics14101998.txt,one_column_or_complex_layout,22,1,0,22
data/processed/articles/raw/628-2272-1-PB.txt,data/processed/articles/628-2272-1-PB.txt,one_column_or_complex_layout,11,2,0,11
data/processed/articles/raw/An_overview_of_free_software_tools_for_general_data_mining.txt,data/processed/articles/An_overview_of_free_software_tools_for_general_data_mining.txt,two_column_normalized,7,6,6,1
data/processed/articles/raw/Berthold_237652.txt,data/processed/articles/Berthold_237652.txt,two_column_normalized,7,4,4,3
data/processed/articles/raw/Cluster_Analysis_of_Covid-19_in_Indonesia_Using_K-.txt,data/processed/articles/Cluster_Analysis_of_Covid-19_in_Indonesia_Using_K-.txt,one_column_or_complex_layout,5,1,0,5
data/processed/articles/raw/Comprehensive_study_of_data_analytics_tools_RapidMiner_Weka_R_tool_Knime.txt,data/processed/articles/Comprehensive_study_of_data_analytics_tools_RapidMiner_Weka_R_tool_Knime.txt,two_column_normalized,9,5,5,4
data/processed/articles/raw/Data_mining_approach_to_predicting_the_performance.txt,data/processed/articles/Data_mining_approach_to_predicting_the_performance.txt,one_column_or_complex_layout,19,1,0,19
data/processed/articles/raw/I10030789S19.txt,data/processed/articles/I10030789S19.txt,two_column_normalized,7,5,5,2
data/processed/articles/raw/Identifying_natural_compounds_as_multi-target-directed_ligands_against_Alzheimer_s_disease_an_in_silico_approach.txt,data/processed/articles/Identifying_natural_compounds_as_multi-target-directed_ligands_against_Alzheimer_s_disease_an_in_silico_approach.txt,two_column_normalized,27,17,17,10
data/processed/articles/raw/Linear_discriminant_analysis_and_principal_compone.txt,data/processed/articles/Linear_discriminant_analysis_and_principal_compone.txt,one_column_or_complex_layout,13,0,0,13
data/processed/articles/raw/Molecular_Informatics_-_2011_-_Saubern_-_KNIME_Workflow_to_Assess_PAINS_Filters_in_SMARTS_Format_Comparison_of_RDKit_and.txt,data/processed/articles/Molecular_Informatics_-_2011_-_Saubern_-_KNIME_Workflow_to_Assess_PAINS_Filters_in_SMARTS_Format_Comparison_of_RDKit_and.txt,two_column_normalized,5,4,4,1
data/processed/articles/raw/PIIS240584401836924X.txt,data/processed/articles/PIIS240584401836924X.txt,one_column_or_complex_layout,22,3,0,22
data/processed/articles/raw/Softw_Pract_Exp_-_2014_-_Jara_-_Big_data_for_smart_cities_with_KNIME_a_real_experience_in_the_SmartSantander_testbed.txt,data/processed/articles/Softw_Pract_Exp_-_2014_-_Jara_-_Big_data_for_smart_cities_with_KNIME_a_real_experience_in_the_SmartSantander_testbed.txt,one_column_or_complex_layout,17,0,0,17
data/processed/articles/raw/Understanding_Tourists_Experiences_at_Local_Markets_in_Phuket_An_Analysis_of_TripAdvisor_Reviews.txt,data/processed/articles/Understanding_Tourists_Experiences_at_Local_Markets_in_Phuket_An_Analysis_of_TripAdvisor_Reviews.txt,one_column_or_complex_layout,28,0,0,28
data/processed/articles/raw/bioinformatics_35_20_4020.txt,data/processed/articles/bioinformatics_35_20_4020.txt,two_column_normalized,10,7,7,3
data/processed/articles/raw/bts543_pdf.txt,data/processed/articles/bts543_pdf.txt,two_column_normalized,4,3,3,1
data/processed/articles/raw/encyclopedia3020035_um.txt,data/processed/articles/encyclopedia3020035_um.txt,one_column_or_complex_layout,12,0,0,12
data/processed/articles/raw/fchem_2018_00093.txt,data/processed/articles/fchem_2018_00093.txt,two_column_normalized,11,6,6,5
data/processed/articles/raw/fenvs_2016_00002.txt,data/processed/articles/fenvs_2016_00002.txt,two_column_normalized,13,11,11,2
data/processed/articles/raw/journal_pone_0208626.txt,data/processed/articles/journal_pone_0208626.txt,one_column_or_complex_layout,16,1,0,16
data/processed/articles/raw/knime_konstanz_information_miner_2006.txt,data/processed/articles/knime_konstanz_information_miner_2006.txt,one_column_or_complex_layout,5,2,0,5
data/processed/articles/raw/s10822-012-9577-7.txt,data/processed/articles/s10822-012-9577-7.txt,two_column_normalized,5,4,4,1
data/processed/articles/raw/s11356-022-21471-9.txt,data/processed/articles/s11356-022-21471-9.txt,two_column_normalized,21,14,14,7
data/processed/articles/raw/s12553-020-00438-1.txt,data/processed/articles/s12553-020-00438-1.txt,two_column_normalized,9,7,7,2
data/processed/articles/raw/s13321-018-0299-2_osti.txt,data/processed/articles/s13321-018-0299-2_osti.txt,two_column_normalized,17,11,11,6
data/processed/articles/raw/s13321-018-0315-6.txt,data/processed/articles/s13321-018-0315-6.txt,two_column_normalized,14,11,11,3
data/processed/articles/raw/s13321-019-0384-1.txt,data/processed/articles/s13321-019-0384-1.txt,two_column_normalized,21,16,16,5
data/processed/articles/raw/s13321-020-00435-6.txt,data/processed/articles/s13321-020-00435-6.txt,two_column_normalized,11,7,7,4
data/processed/articles/raw/s41592-018-0216-7.txt,data/processed/articles/s41592-018-0216-7.txt,two_column_normalized,13,9,9,4
data/processed/articles/raw/sustainability-12-04776-v2.txt,data/processed/articles/sustainability-12-04776-v2.txt,one_column_or_complex_layout,16,0,0,16
data/processed/articles/raw/sustainability_13_03836.txt,data/processed/articles/sustainability_13_03836.txt,one_column_or_complex_layout,20,0,0,20
data/processed/articles/raw/sustainability_15_05443.txt,data/processed/articles/sustainability_15_05443.txt,one_column_or_complex_layout,17,0,0,17
data/processed/articles/raw/swb_2023_1302.txt,data/processed/articles/swb_2023_1302.txt,one_column_or_complex_layout,9,0,0,9
data/processed/articles/raw/thesai_specialissue_010304.txt,data/processed/articles/thesai_specialissue_010304.txt,two_column_normalized,10,9,9,1
